ts,id,gpu,total_vram_gb,max_alloc_gb,max_reserved_gb,batch,amp,n_seeds,total_train_s,mean_seed_train_s
2026-07-30 00:37:11,smoke_V11_A,NVIDIA GeForce RTX 4060 Ti,16.0,2.004,2.736,1024,True,1,38.4,26.5
2026-07-30 00:37:55,probe_V11_A_baseline,NVIDIA GeForce RTX 4060 Ti,16.0,2.004,2.734,1024,True,1,18.2,14.1,18.2,False
2026-07-30 00:38:08,probe_V11_A_baseline,NVIDIA GeForce RTX 4060 Ti,16.0,2.004,3.23,2048,True,1,13.1,12.9,13.1,False
2026-07-30 00:38:21,probe_V11_A_baseline,NVIDIA GeForce RTX 4060 Ti,16.0,2.732,4.537,4096,True,1,13.3,13.1,13.3,False
2026-07-30 00:38:35,probe_V11_A_baseline,NVIDIA GeForce RTX 4060 Ti,16.0,4.82,5.908,8192,True,1,13.4,13.2,13.4,False
2026-07-30 00:38:48,probe_V11_A_baseline,NVIDIA GeForce RTX 4060 Ti,16.0,6.91,7.885,12288,True,1,13.2,13.0,13.2,False
2026-07-30 00:39:01,probe_V11_A_baseline,NVIDIA GeForce RTX 4060 Ti,16.0,8.998,11.17,16384,True,1,13.4,13.2,13.4,False
2026-07-30 00:40:10,probe_V11_G_wider128_deeper3,NVIDIA GeForce RTX 4060 Ti,16.0,3.315,4.723,1024,True,1,35.5,31.2,35.5,False
2026-07-30 00:40:40,probe_V11_E_longer90,NVIDIA GeForce RTX 4060 Ti,16.0,3.156,4.986,1024,True,1,20.6,20.3,20.6,False
2026-07-30 01:55:25,P0_A_CH_7s,NVIDIA GeForce RTX 4060 Ti,16.0,2.01,2.736,1024,True,7,3916.0,
2026-07-30 02:54:01,P0_A_BR_7s,NVIDIA GeForce RTX 4060 Ti,16.0,2.009,2.742,1024,True,7,3502.5,
2026-07-30 03:06:25,P1_V11_A_baseline_CH_3s,NVIDIA GeForce RTX 4060 Ti,16.0,2.006,2.742,1024,True,3,733.8,
2026-07-30 03:22:19,P1_V11_B_wider96_CH_3s,NVIDIA GeForce RTX 4060 Ti,16.0,2.663,4.619,1024,True,3,944.5,
2026-07-30 03:45:24,P1_V11_C_wider128_CH_3s,NVIDIA GeForce RTX 4060 Ti,16.0,3.321,7.119,1024,True,3,1372.9,
2026-07-30 04:03:07,P1_V11_D_deeper64_CH_3s,NVIDIA GeForce RTX 4060 Ti,16.0,2.007,7.119,1024,True,3,1054.1,
2026-07-30 04:24:32,P1_V11_E_longer90_CH_3s,NVIDIA GeForce RTX 4060 Ti,16.0,3.161,4.975,1024,True,3,1270.3,
2026-07-30 04:52:15,P1_V11_F_wider96_longer90_CH_3s,NVIDIA GeForce RTX 4060 Ti,16.0,3.953,7.781,1024,True,3,1655.1,
2026-07-30 05:31:28,P1_V11_G_wider128_deeper3_CH_3s,NVIDIA GeForce RTX 4060 Ti,16.0,3.326,4.742,1024,True,3,1993.6,
