symbol,first_date,last_date,expected_sessions,actual_sessions,missing_sessions,duplicate_dates,non_monotonic_steps,off_calendar_rows,gap_intervals,multi_session_gaps,largest_gap_sessions,largest_gap_start,full_month_gaps,full_month_list,missing_2025_26,latest_contiguous_run,tail_fresh,recent_window_missing,LEVEL_A_live_inference,LEVEL_B_training_samples_feature_window_cross,LEVEL_B_training_samples_label_window_cross,LEVEL_C_history,missing_unrepaired,missing_market_open_symbol_no_data,missing_confirmed_symbol_no_trade,missing_unresolved_after_retries,listing_boundary,model_eligible
2337,2015-01-05,2026-09-21,2856,2847,9,0,0,0,1,1,9,2017-08-15,0,,0,2210,True,0,PASS,190,21,INCOMPLETE,0,9,0,0,UNKNOWN_LISTING_BOUNDARY,True
2344,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2345,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2351,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2353,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2354,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2016-03-30,0,,0,2556,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
2356,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2357,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2360,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2368,2015-01-05,2026-09-21,2856,2849,7,0,0,0,1,1,7,2022-09-07,0,,0,972,True,0,PASS,190,21,INCOMPLETE,0,7,0,0,UNKNOWN_LISTING_BOUNDARY,True
2376,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2377,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2379,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2382,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2385,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2401,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2408,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2409,2015-01-05,2026-09-21,2856,2849,7,0,0,0,1,1,7,2022-09-29,0,,0,957,True,0,PASS,190,21,INCOMPLETE,0,7,0,0,UNKNOWN_LISTING_BOUNDARY,True
2412,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2449,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2024-04-26,0,,0,585,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
2451,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2454,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2016-05-13,0,,0,2527,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
2458,2015-01-05,2026-09-21,2856,2849,7,0,0,0,1,1,7,2018-10-11,0,,0,1926,True,0,PASS,190,21,INCOMPLETE,0,7,0,0,UNKNOWN_LISTING_BOUNDARY,True
2542,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2548,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2603,2015-01-05,2026-09-21,2856,2849,7,0,0,0,1,1,7,2022-09-07,0,,0,972,True,0,PASS,190,21,INCOMPLETE,0,7,0,0,UNKNOWN_LISTING_BOUNDARY,True
2606,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2609,2015-01-05,2026-09-21,2856,2847,9,0,0,0,1,1,9,2017-04-20,0,,0,2291,True,0,PASS,190,21,INCOMPLETE,0,9,0,0,UNKNOWN_LISTING_BOUNDARY,True
2610,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2615,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2618,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2634,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2637,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2723,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2801,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2812,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2845,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2880,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2881,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2882,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2883,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2884,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2025-11-05,0,,1,213,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
2886,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2887,2015-01-05,2026-09-21,2856,2855,1,0,0,0,1,0,1,2024-08-22,0,,0,505,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
2890,2015-01-05,2026-09-21,2856,2856,0,0,0,0,0,0,0,,0,,0,2856,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
