stock,weight,score,rank
2368,0.03333333350000001,3.230019061546239,1
2345,0.03333333350000001,3.110291738262227,2
2615,0.040000000200000004,3.021651848180493,3
3661,0.05454545436363637,2.39240548167259,4
2027,0.05454545436363637,2.341868029095243,5
2609,0.040000000200000004,1.7942465483669645,6
2603,0.040000000200000004,1.6563446990283108,7
1231,0.05454545436363637,1.6298803022318573,8
2357,0.03333333350000001,1.3939328443745251,9
2606,0.040000000200000004,1.3725700029392982,10
2408,0.05454545436363637,1.3692220419334173,11
3231,0.03333333350000001,1.3601349878663391,12
2382,0.03333333350000001,1.2982783679111647,13
2618,0.05454545436363637,1.0534030836915653,14
1590,0.05454545436363637,1.001749574458844,15
3443,0.05454545436363637,0.9367046391230847,16
1503,0.05454545436363637,0.7828603770405375,17
1519,0.05454545436363637,0.7616571812306064,18
1210,0.05454545436363637,0.7583090112644831,19
2637,0.040000000200000004,0.7210039660456053,20
2376,0.03333333350000001,0.674133347804246,21
4133,0.05454545436363637,0.6395380990105501,22
