stock,weight,score,rank
2408,0.03333333333333333,4.024977792662677,1
2344,0.03333333333333333,4.013646354170224,2
6770,0.03333333333333333,2.7338933965905614,3
2308,0.02962962962962963,2.614396870957734,4
2368,0.02962962962962963,2.394725755687448,5
2360,0.02962962962962963,2.254831996059724,6
2449,0.03333333333333333,2.147334247436356,7
1802,0.08888888888888889,2.028783751914662,8
3037,0.02962962962962963,1.7321275225232893,9
1303,0.08888888888888889,1.7078384898339687,10
3443,0.03333333333333333,1.6067018951415466,11
2451,0.02962962962962963,1.6046480176238767,12
2337,0.03333333333333333,1.4466792743766974,13
3711,0.03333333333333333,0.9149151588439254,14
2345,0.02962962962962963,0.8434299137966474,15
2313,0.02962962962962963,0.6932512532028556,16
2317,0.02962962962962963,0.6201495933483431,17
1519,0.1,0.5163188527845766,18
2330,0.03333333333333333,0.4644722204845301,19
2231,0.1,0.3269051194721401,20
1326,0.08888888888888889,0.28252271812388985,21
3231,0.02962962962962963,0.22823900171704192,22
