stock,weight,score,rank
2368,0.024999999999999998,4.016808340601593,1
2408,0.056249999999999994,3.670589337148815,2
2345,0.024999999999999998,2.715324418422784,3
2615,0.07499999999999998,2.619165816913146,4
3661,0.056249999999999994,2.0831340925296917,5
1519,0.045,1.7128152348031436,6
2357,0.024999999999999998,1.6821542504423692,7
3231,0.024999999999999998,1.6333592270027653,8
2360,0.024999999999999998,1.3577675254162835,9
2382,0.024999999999999998,1.3299697445421637,10
1503,0.045,1.256001517362247,11
2376,0.024999999999999998,1.2341687698142834,12
2344,0.056249999999999994,1.065234916515209,13
1513,0.045,0.9392500537584922,14
2603,0.07499999999999998,0.9201615092682734,15
2609,0.07499999999999998,0.8730365575510871,16
2308,0.024999999999999998,0.8043174846387843,17
2027,0.1,0.7758039810798795,18
1590,0.045,0.7698387913799666,19
3443,0.056249999999999994,0.6807190417842981,20
6414,0.045,0.6624653767815308,21
2451,0.024999999999999998,0.6529212609101781,22
