stock,weight,score,rank
3661,0.04000000019999999,3.9785701830797624,1
2345,0.02857142871428571,3.6030479349981266,2
2312,0.02857142871428571,3.3514649011693662,3
2360,0.02857142871428571,2.667803516040021,4
2354,0.02857142871428571,2.290429338745,5
2618,0.059999999799999974,1.8359848062548827,6
6446,0.059999999799999974,1.7758667548937137,7
1231,0.059999999799999974,1.7040672464253241,8
2610,0.059999999799999974,1.3312517502974321,9
2615,0.059999999799999974,1.2999108639544255,10
2449,0.04000000019999999,1.267145273044155,11
2351,0.04000000019999999,1.239935469774041,12
2368,0.02857142871428571,1.2316725567320217,13
2603,0.059999999799999974,1.192354071708567,14
2609,0.059999999799999974,1.1603010198059875,15
2357,0.02857142871428571,0.7984548152257416,16
9904,0.059999999799999974,0.7594205242195052,17
2382,0.02857142871428571,0.7448900314258733,18
2330,0.04000000019999999,0.6901858574203096,19
2882,0.059999999799999974,0.6886184956722593,20
2454,0.04000000019999999,0.6430316840009563,21
1802,0.059999999799999974,0.6230873138517178,22
