stock,weight,score,rank
2337,0.028571428950545336,3.688284161955506,1
6770,0.028571428950545336,2.731622987700093,2
3037,0.028571428950545336,2.353567487514808,3
2360,0.028571428950545336,2.1743883612315553,4
2313,0.028571428950545336,1.9929181820961541,5
1802,0.06666666700000004,1.3016105489412009,6
2451,0.028571428950545336,1.2760287225836466,7
3711,0.028571428950545336,1.2544448658906435,8
2344,0.028571428950545336,1.20675684189844,9
2308,0.028571428950545336,1.0991122700417386,10
2368,0.028571428950545336,1.05939357758112,11
1303,0.06666666700000004,1.0490676972635806,12
2449,0.028571428950545336,0.8596050164957034,13
1326,0.06666666700000004,0.4280886844914048,14
2345,0.028571428950545336,0.3086959078578324,15
1519,0.09999999842309132,0.23356817755602893,16
2330,0.028571428950545336,0.20056824426799286,17
2303,0.028571428950545336,0.18557342421856093,18
6446,0.09999999842309132,0.12733333937536837,19
2887,0.09999999842309132,0.08396380166102804,20
2409,0.09999999842309132,0.03139393765225178,21
