stock,weight,score,rank
2308,0.022222222333333336,4.9184602724571125,1
2344,0.033333333500000006,3.2940466666487866,2
2360,0.022222222333333336,3.226410968641372,3
2368,0.022222222333333336,2.8670658975419654,4
1802,0.09999999966666666,2.5847621920512855,5
2449,0.033333333500000006,2.4388163192094474,6
6770,0.033333333500000006,2.089950919511326,7
2345,0.022222222333333336,1.551613712410558,8
2313,0.022222222333333336,1.0800865344973611,9
2231,0.09999999966666666,1.0349890591920625,10
2330,0.033333333500000006,1.0280777302425688,11
3443,0.033333333500000006,0.9623410010590514,12
3661,0.033333333500000006,0.8486382801300332,13
3037,0.022222222333333336,0.7299075005309646,14
1303,0.09999999966666666,0.6902513233492915,15
1519,0.09999999966666666,0.6592252650196091,16
2317,0.022222222333333336,0.572297479250468,17
1215,0.09999999966666666,0.5300830994818483,18
3231,0.022222222333333336,0.4949683398003748,19
2634,0.09999999966666666,0.4539827469556992,20
2451,0.022222222333333336,0.3957848563625712,21
