stock,weight,score,rank
6770,0.044444444444444446,3.706630761912579,1
2337,0.044444444444444446,3.238040976583663,2
2451,0.02666666666666667,2.5874629515479826,3
2449,0.044444444444444446,2.543344862548464,4
2368,0.02666666666666667,2.4993934635458603,5
3037,0.02666666666666667,2.4821805857172516,6
2308,0.02666666666666667,2.2993571437000577,7
1802,0.08888888888888889,2.295513416938081,8
1303,0.08888888888888889,2.2953461793393366,9
2360,0.02666666666666667,2.196748389041922,10
3443,0.044444444444444446,2.023283024210272,11
2313,0.02666666666666667,1.3984409709190473,12
3711,0.044444444444444446,1.3884141623792563,13
1519,0.1,0.9453927826349535,14
2345,0.02666666666666667,0.6884537329158625,15
2317,0.02666666666666667,0.6008855196285103,16
2330,0.044444444444444446,0.46284878844471516,17
2312,0.02666666666666667,0.30248118321297224,18
1326,0.08888888888888889,0.23755707222007066,19
2231,0.1,0.2340581155699785,20
3231,0.02666666666666667,0.12928753840914517,21
