stock,weight,score,rank
2337,0.027777777777777783,4.195630985085487,1
1303,0.1,3.5516113878260196,2
3037,0.03125000000000001,2.7893934657195842,3
2408,0.027777777777777783,2.7288213966499386,4
3711,0.027777777777777783,2.2932463997232704,5
2344,0.027777777777777783,2.1296459496351656,6
6446,0.1,2.107510738993142,7
2303,0.027777777777777783,1.9819865547763014,8
2313,0.03125000000000001,1.8447291539522697,9
3443,0.027777777777777783,1.7277844576304284,10
2409,0.1,1.4353383130881487,11
2351,0.027777777777777783,1.297454633499497,12
2360,0.03125000000000001,1.2807608110631041,13
2454,0.027777777777777783,0.9150608776504634,14
2345,0.03125000000000001,0.7122840660562471,15
6770,0.027777777777777783,0.6020855882550834,16
2308,0.03125000000000001,0.5623356171202917,17
3008,0.1,0.5265930793263539,18
1802,0.1,0.3911438172643342,19
2368,0.03125000000000001,0.32082832866584154,20
2312,0.03125000000000001,0.1344365449804794,21
2356,0.03125000000000001,0.07189382912101894,22
