stock,weight,score,rank
2337,0.03333333333333333,3.3988616248829384,1
6770,0.03333333333333333,3.0699346575324227,2
2344,0.03333333333333333,2.4728649518328036,3
3037,0.03333333333333333,2.188560460057691,4
2313,0.03333333333333333,1.7995153806617274,5
2360,0.03333333333333333,1.417672265628155,6
1303,0.08888888888888889,1.402492616927118,7
3711,0.03333333333333333,1.3789055562137793,8
2449,0.03333333333333333,1.3715428679585644,9
1802,0.08888888888888889,1.3410379026076118,10
2308,0.03333333333333333,1.0515127431114524,11
2368,0.03333333333333333,0.9942062151636171,12
2451,0.03333333333333333,0.9078317066893054,13
3443,0.03333333333333333,0.8719754241210398,14
1519,0.1,0.3632306960605748,15
1326,0.08888888888888889,0.27790781243550655,16
2303,0.03333333333333333,0.24477947943165607,17
2330,0.03333333333333333,0.20821720655923268,18
6446,0.1,0.18152841958647656,19
2312,0.03333333333333333,0.09103427199133554,20
2345,0.03333333333333333,0.07401804512169902,21
