stock,weight,score,rank
2344,0.037500000000000006,5.806378882154115,1
2408,0.037500000000000006,4.071675606040304,2
6770,0.037500000000000006,3.0260716012033524,3
2337,0.037500000000000006,2.7878238332011294,4
3037,0.03333333333333333,1.9977988867553982,5
2451,0.03333333333333333,1.853937353637906,6
1303,0.1,1.753585700045133,7
1802,0.1,1.7091648978733542,8
2449,0.037500000000000006,1.4010999802313482,9
2313,0.03333333333333333,1.244511473412082,10
2308,0.03333333333333333,1.1609141444839375,11
2360,0.03333333333333333,1.1036507879654711,12
3443,0.037500000000000006,1.082357021437331,13
3711,0.037500000000000006,0.8193486673808098,14
2368,0.03333333333333333,0.7934427072048716,15
2312,0.03333333333333333,0.737086003508839,16
1789,0.1,0.3467944097943682,17
1519,0.1,0.302022136462333,18
2330,0.037500000000000006,0.2947221123951139,19
2345,0.03333333333333333,0.25355013977866925,20
2317,0.03333333333333333,0.19778845094613387,21
