stock,weight,score,rank
2368,0.02857142902929854,4.8981082160653635,1
1802,0.06666666579915173,4.323469620894631,2
2308,0.02857142902929854,3.289111986711782,3
2360,0.02857142902929854,2.209075044187969,4
2408,0.05000000025,1.8859007710218756,5
2345,0.02857142902929854,1.8131932391999013,6
1215,0.06666666579915173,1.5183013810856574,7
3661,0.05000000025,1.489614911490127,8
1303,0.06666666579915173,1.1818575468019517,9
1519,0.06666666579915173,0.9124993092426065,10
2449,0.05000000025,0.8896253206289686,11
2884,0.05000000025,0.7126600156430154,12
2812,0.05000000025,0.7092377434254596,13
2615,0.06666666579915173,0.5846056133181569,14
2451,0.02857142902929854,0.5724983692245784,15
2317,0.02857142902929854,0.5521069073268972,16
2313,0.02857142902929854,0.47182054842690746,17
2330,0.05000000025,0.4140594187581267,18
2890,0.05000000025,0.33365548175184645,19
1513,0.06666666579915173,0.32977698060855787,20
2891,0.05000000025,0.32060653736122635,21
