stock,weight,score,rank
2408,0.025,2.977546317990195,1
2344,0.025,2.8955422468940917,2
3711,0.025,2.3827022561019446,3
3443,0.025,2.334382713835431,4
2454,0.025,2.0892539383594935,5
2303,0.025,1.9519918035917008,6
1303,0.1,1.8231824778784618,7
2409,0.1,1.7401692950837149,8
3008,0.1,1.7373937211612678,9
2368,0.03571428571428571,1.6219574198302826,10
2345,0.03571428571428571,1.6171632917897951,11
2351,0.025,1.5116935497415178,12
2308,0.03571428571428571,1.4130365725319567,13
6446,0.1,1.3450363343150185,14
6770,0.025,1.2439822310750723,15
2312,0.03571428571428571,1.072404614290449,16
2356,0.03571428571428571,0.889851099153957,17
2451,0.03571428571428571,0.8017915310641085,18
2360,0.03571428571428571,0.7828893104269639,19
1802,0.1,0.6785332911856223,20
3661,0.025,0.6146963105021194,21
2401,0.025,0.3353782229767526,22
