stock,weight,score,rank
2308,0.02500000012499999,4.328120034362201,1
2368,0.02500000012499999,3.8379377838040214,2
1802,0.07499999974999998,2.905037533679298,3
2360,0.02500000012499999,2.862071315617777,4
2408,0.0400000002,2.564589883719868,5
2344,0.0400000002,2.438834122225903,6
2449,0.0400000002,2.2061839904669833,7
2345,0.02500000012499999,1.8127905669636655,8
2231,0.07499999974999998,1.51268900900289,9
3661,0.0400000002,1.3532453128494741,10
1303,0.07499999974999998,0.9979420436764579,11
1215,0.07499999974999998,0.914730867242903,12
2634,0.07499999974999998,0.9008604447629149,13
3037,0.02500000012499999,0.751193780137987,14
2330,0.0400000002,0.6779190459700536,15
2313,0.02500000012499999,0.5657832825879914,16
1519,0.07499999974999998,0.5370952494711914,17
2451,0.02500000012499999,0.48010973979602656,18
2884,0.07499999974999998,0.3128856404459457,19
3231,0.02500000012499999,0.2466121322641249,20
1513,0.07499999974999998,0.15634049034425054,21
