panel,corr_tf_ridge,corr_tf_mom,corr_ridge_mom,ic_tf_residual_vs_ridge_mom
CH,0.31580730996177336,0.6450147016661303,0.03194286258841596,0.021643264628734546
BR,0.35092009994376683,0.6556381676572309,0.045809274312827296,0.002367568910315014
