panel,signal,horizon,mean,std,ir,pos_frac,n_dates
CH,blend,1,0.01715389167720083,0.22491101247936612,0.0762696832320497,0.5537383177570093,856
CH,blend,5,0.03478388951944297,0.224278790387715,0.15509219333362464,0.5934579439252337,856
CH,blend,10,0.047805200365995254,0.2098030925801608,0.2278574628147105,0.6063084112149533,856
CH,blend,20,0.06666464649832163,0.1975846629963782,0.33739788041920854,0.6612149532710281,856
CH,blend,30,0.07658542521067194,0.20508789306659087,0.37342733432736125,0.6810747663551402,856
CH,blend,40,0.08734931193574931,0.20860477674655675,0.4187311206294853,0.6803760282021152,851
CH,z_tf,1,0.015150343605379455,0.2217677485342582,0.0683162619700721,0.5490654205607477,856
CH,z_tf,5,0.029476753563840007,0.2234627462968407,0.13190902757761708,0.5619158878504673,856
CH,z_tf,10,0.04074847493323561,0.2100018265212839,0.19403866913084067,0.6016355140186916,856
CH,z_tf,20,0.05670943994943868,0.20979829016547386,0.2703045859177896,0.6460280373831776,856
CH,z_tf,30,0.06795181358501723,0.21861085693506144,0.31083457856442315,0.6623831775700935,856
CH,z_tf,40,0.08184245662244383,0.21494407476632266,0.38076163165427657,0.6862514688601645,851
CH,z_mom,1,0.018870360013864565,0.2244374721257245,0.08407847332772417,0.5385514018691588,856
CH,z_mom,5,0.03597432153329651,0.22500377078520953,0.1598831939916149,0.5759345794392523,856
CH,z_mom,10,0.047422358377743966,0.21416226557130635,0.22143190468796412,0.6191588785046729,856
CH,z_mom,20,0.06295172660293173,0.19358835938332983,0.32518342943482065,0.6682242990654206,856
CH,z_mom,30,0.07101171745699428,0.19863949306225967,0.3574904283245278,0.669392523364486,856
CH,z_mom,40,0.07940421598820101,0.20413172842397267,0.388985174432472,0.6486486486486487,851
BR,blend,1,0.007978754092899757,0.21933925939714666,0.03637631546139684,0.5282317979197623,1346
BR,blend,5,0.016650302833581425,0.22420054162297956,0.07426522127489295,0.5430906389301634,1346
BR,blend,10,0.02231469729321734,0.2151268691643064,0.10372808092221225,0.5468053491827637,1346
BR,blend,20,0.03148680888551131,0.20529006403791905,0.15337716919263755,0.5928677563150074,1346
BR,blend,30,0.03570633054058825,0.20587470370687913,0.17343719212548964,0.5884101040118871,1346
BR,blend,40,0.043158177086808865,0.20531635140479879,0.21020331206703952,0.6017897091722595,1341
BR,z_tf,1,0.005100525320549874,0.22415884485863782,0.022754066759071847,0.5222882615156018,1346
BR,z_tf,5,0.014127196359874462,0.22238598158364278,0.06352557053854137,0.5334323922734027,1346
BR,z_tf,10,0.017955986722845874,0.21257724237579356,0.08446805745604377,0.5438335809806835,1346
BR,z_tf,20,0.025082736267278465,0.21108462368204584,0.1188278702150294,0.5765230312035661,1346
BR,z_tf,30,0.028747085993487107,0.2163764411005311,0.1328568204896709,0.5601783060921248,1346
BR,z_tf,40,0.03605431364620254,0.21245964154476693,0.16969958804437504,0.56972408650261,1341
BR,z_mom,1,0.010752506527596881,0.21739311810297693,0.04946111735930632,0.5267459138187222,1346
BR,z_mom,5,0.019138151281347632,0.22258343279703174,0.0859819216590088,0.5408618127786032,1346
BR,z_mom,10,0.023311881869364653,0.21424184612662536,0.10881105764737675,0.5512630014858841,1346
BR,z_mom,20,0.031563560719088474,0.2002000709693334,0.15766008756272307,0.5854383358098069,1346
BR,z_mom,30,0.03580312815701338,0.20217426764757662,0.17709043081300627,0.5846953937592868,1346
BR,z_mom,40,0.04091205177148645,0.20284347396183128,0.20169271888522675,0.5920954511558538,1341
