panel,corr_tf_ridge,corr_tf_mom,corr_ridge_mom,ic_tf_residual_vs_ridge_mom
CH,0.46436413707000757,0.6450147016661303,0.20112287263211176,0.016922266521188056
BR,0.45035886697877414,0.6556381676572309,0.16226627189908438,-0.0010924522949620537
