date,n,ic_1,ic_tf_1,topq_1,uni_1,botq_1,ic_5,ic_tf_5,topq_5,uni_5,botq_5,ic_10,ic_tf_10,topq_10,uni_10,botq_10,ic_20,ic_tf_20,topq_20,uni_20,botq_20
2026-07-07,106,0.03737333565367444,0.03216313893452932,0.0009316781667200709,-0.004331522690245383,-0.004167180624068748,-0.1960702320074565,-0.1928155780033756,0.00231621406939861,0.002631140751540594,0.020262176840928684,-0.23744927185825362,-0.23100040557396412,-0.04488067852423568,-0.005557223329460737,0.011779444054402611,-0.1764213920447389,-0.16650628510970603,-0.03202981804727003,-0.010227497526179723,0.0021280905507349594
2026-07-22,108,-0.5616483709475646,-0.5972604960404692,-0.05090128404089168,-0.00956392035957465,-0.00016348208454150778,-0.7166983830614302,-0.7409632097804361,-0.20306385880739503,-0.06681986661558545,-0.007477001986204859,0.08617946592738669,0.13254641935084358,-0.003580137210946447,-0.003916394085512854,-0.01311359850403403,-0.10942486686291883,-0.024436251393295035,0.043347302556012775,0.02345610752095947,0.022697655543386052
2026-07-23,106,0.008524809870286995,0.035771956311487975,0.004356263836949484,0.001468691353625106,-0.0014744693288198587,-0.43269264679950625,-0.4213265486056881,-0.08701264808059214,-0.027864322278159274,-0.006880910027324918,0.19791015900777167,0.2405634711140747,0.029619805846031067,0.00414371809359643,-0.011412574935879216,0.03717661284228027,0.11611456785147492,0.09895049585660616,0.0432164312635283,0.03435528897910487
2026-07-24,107,-0.7144561194283099,-0.7694677906283257,-0.08505724459053636,-0.03568796301253193,-0.008735173732921183,-0.24142525476438695,-0.22625963798171964,-0.04564377865593589,-0.01859494031543986,-0.010681596474191186,0.31595446619251943,0.3655929779188464,0.060172882864646095,0.01644484238487266,0.0009707257011149394,0.052763572954015556,0.11196340053684438,0.08727064640889068,0.0367459499775916,0.035166331264910436
2026-07-27,107,-0.5787592978850349,-0.5122152531487738,-0.06905290371873135,-0.018553130318885742,0.0009611905406819544,0.49343639177883586,0.49120280569760383,0.07814443045805905,0.027502021509212302,0.004098699564592003,0.48870688867516265,0.49428609230552256,0.15498870447642593,0.05804890162529149,0.031221421588264874,0.2881717901996513,0.29738043456964286,0.19097456121218184,0.08086501404034231,0.0590698869592356
2026-07-28,107,-0.21363142090622986,-0.3130210735290722,-0.01743163175094194,-0.008270317605718008,0.0021179482239247786,0.7139344422892299,0.6462215168792492,0.2049503773447649,0.06362349677326856,-0.002530030473276576,0.6226087467659761,0.6309945115384419,0.2717717858779429,0.09221431207081127,0.023760909356791857,0.47803640353455207,0.46600638727247795,0.3441390655500079,0.11560703151811749,0.04820661703766489
2026-07-29,107,0.6583183732342427,0.6681900339771935,0.08554136872234876,0.03547233233196771,0.006130101280353254,0.7012480652050394,0.7258682719811341,0.24446703164461256,0.0773616590369114,0.00973630901734628,0.6585944081976528,0.686261207757911,0.31798020415630057,0.10551173574739682,0.022321168850516958,0.5332294911734164,0.5814489445562624,0.40451517504255413,0.13381984940132421,0.04838477555856711
2026-07-30,107,0.3238291661930767,0.3279930059544314,0.04439437652990971,0.012315721797128311,-0.006978476964245836,0.4992224064514827,0.5183205938626065,0.11552769345524896,0.035666182362914564,-0.006563515348153869,0.5599041887342334,0.5670949445984725,0.21029371930411087,0.06932088312593336,0.0037228400192017464,0.47090057239874966,0.47230147906957054,0.28968886391090315,0.09020004048283105,0.02017066021338093
2026-07-31,107,0.48976253064586867,0.5316677128646932,0.0384459608562677,0.008967217185928383,-0.004469125341167709,0.5224351046154518,0.5359542113748009,0.10380835630393982,0.03726946133368439,0.003730569604144847,0.423813162483591,0.4674562589392426,0.1654372335400216,0.05608454056786601,0.01545780902939604,0.38034243505677234,0.4058475034973268,0.24084586799770072,0.08203329567183124,0.031264826286510936
2026-08-03,107,0.45892824551399297,0.45828132929682713,0.03470099086607078,0.012452186567592895,0.0016485035047218988,0.2734219630409965,0.3431465719830141,0.07043945355861958,0.02918535795906544,0.023626941242066934,0.22874888565612694,0.2414745731279603,0.10389122410914085,0.03797672781777708,0.019609924184016313,0.27302918386450786,0.297638057559077,0.18734355193251734,0.08133652905133872,0.05614402726537289
2026-08-04,107,-0.029604884512139655,0.029541207560012283,0.011740982792706729,0.0028667260584021048,0.009826746339237868,0.15231372860934334,0.29860740343316217,0.0487869902925365,0.025789279233309363,0.02735621422554763,-0.05558494484609808,-0.0345520092478301,0.04571890357587163,0.023779593131760417,0.034020453345825735,0.11556387165700047,0.13703280097809709,0.1399872737671674,0.06471558636267603,0.0680341527864009
2026-08-07,107,-0.12697946613299663,0.04542960371913661,0.007606568715749533,0.0012803877112921313,0.011003365587531429,0.14998334606869257,0.23084308078136326,0.06089807596761386,0.01769986833948401,0.006415664087394948,-0.19728044443612486,-0.16871825271652102,0.029119004410724784,0.019723473508202225,0.035032621362513235,0.16825410042885455,0.10202517198930457,0.12458659714145026,0.05530855134542428,0.03521758327025989
2026-08-10,107,0.2944542014729846,0.35566284568331996,0.014922086676708452,0.009257677929831589,-0.0008141813929644133,0.10129043792629647,0.08594429246360065,0.04125740326281126,0.009222366707848303,-0.007694039922167606,-0.0637420341017329,-0.07740349057677579,0.03194444449188573,0.021844564180242956,0.02305175356802792,0.16660952027210923,0.07776482459693088,0.11310254704957332,0.048018392576563824,0.01919130166738785
2026-08-11,107,0.33624775771054677,0.2673227679821161,0.0189434497154288,0.0013605742325018923,-0.008814364213611148,-0.28995474049256453,-0.34378206808148937,-0.001863480030849193,-0.0012550388132894857,0.010655315374122221,-0.009689523791207027,-0.06048374279771864,0.053793941094297595,0.02076810736567557,0.020837842757656325,0.16968928096526373,0.09960079351473147,0.11862031144039879,0.043066106378011115,0.018224313063232342
2026-08-14,107,-0.13558989953309242,-0.24000587852324407,-0.011557834161442574,-0.007122422605142286,-0.005973599498851557,-0.431696505111593,-0.5047684357534042,-0.028841755321333356,0.0024207331379943915,0.022604309664730215,0.07500808305913145,0.014622461333039927,0.06214091802387656,0.023585788571924986,0.01571486270025668,,,,,
2026-08-17,107,-0.3189077471606975,-0.44554506779011155,-0.01795502162081081,-0.0010203643711539472,0.003313386149876499,-0.20739245864412023,-0.27608147791500687,-0.0051213159380043985,0.01264986297514426,0.018267882123244785,0.13061272492055465,0.10898625989709934,0.0720846493829517,0.041450771295813475,0.035016919831724065,,,,,
2026-08-18,107,-0.30147366782023766,-0.20309821215986087,0.00025380342829579784,0.006442860492641857,0.009630556348601705,0.14674503512259326,0.1890590248040933,0.04463948704833069,0.021763565632098983,0.021692051134849007,0.15821234742059992,0.1981871661558045,0.06186467213926572,0.0400283482748925,0.04109418540308231,,,,,
2026-08-19,107,0.0039001255997015475,-0.02442968120617075,0.0025520794773053494,0.007892432599216452,0.010072014901082303,0.4029213241178093,0.4097886889505692,0.048271791830408646,0.02096857168053916,0.0019776110844368974,0.19210799584631363,0.11505907247399047,0.029642303818730682,0.024765224979375514,0.007495571974644808,,,,,
2026-08-21,106,0.29290527406785405,0.3091215178863547,0.008991206219782106,0.003609875799654534,-0.002356968214524635,0.35998367627066585,0.38166804377663416,0.0780051738402954,0.022614700393871322,-0.0046065241306204145,0.337900440589632,0.34467678836492055,0.07929450637946311,0.0369237025479937,0.010694889150258746,,,,,
2026-08-24,106,0.4546819504448614,0.4790678932897705,0.03699171400642229,0.00821499216745293,0.003569975178596681,0.3272905911699274,0.37534702151181637,0.07141731255008962,0.029274223109334307,0.018450568779860108,0.24497312113616002,0.26193175235480787,0.0742970291556458,0.02663011272750529,0.01914000154019736,,,,,
2026-08-25,106,0.12320978278932918,0.1910320975896547,0.01951237336983916,0.005233258994579527,-0.003039779967705224,0.0896090122909166,0.13199015540298173,0.035099928987410045,0.017687654409844128,0.01168423092759091,0.13523474125226487,0.13342603578659307,0.04956918363195313,0.022271365939776893,0.013936246519029284,,,,,
2026-08-26,106,0.22469447921533067,0.24174878262824262,0.007191830964757544,-0.00115881957001053,-0.005896447570289731,-0.04896604016953887,-0.09824444729972302,-0.013433462463228154,0.004198128375738343,0.0026325679973665224,0.07709902511524801,0.045701186487643895,0.0309038000266382,0.010177378038482088,-0.006033075589130077,,,,,
2026-08-27,106,0.1997783098643574,0.11495150537326457,0.010229829081824973,0.005763466369218385,-0.001270247851105779,-0.01757904020369582,-0.11447789408660725,2.5858321850652245e-05,0.01733084253681327,0.012625167220008348,-0.10798297100536564,-0.21256518124795323,-0.01154954974291979,0.0021491992138224798,-0.0038702598939730592,,,,,
