panel,max_sector_share_mean,max_sector_share_p95,semis_elec_share_mean,ic_raw,ic_sector_neutral,ic_sector_neutral_ir,ic_between_sector,ic_between_sector_pos_frac
CH,0.36840787716955936,0.5714285714285714,0.5993602581219403,0.06666464649832163,0.08606723951497527,0.41407236213691784,0.12421244731052274,0.6670560747663551
BR,0.3403222953371542,0.5714285714285714,0.5062584023208094,0.03148680888551131,0.043385208728403506,0.20772808298828996,0.07193036656773304,0.6010401188707281
