symbol,first_date,last_date,expected_sessions,actual_sessions,missing_sessions,duplicate_dates,non_monotonic_steps,off_calendar_rows,gap_intervals,multi_session_gaps,largest_gap_sessions,largest_gap_start,full_month_gaps,full_month_list,missing_2025_26,latest_contiguous_run,tail_fresh,recent_window_missing,LEVEL_A_live_inference,LEVEL_B_training_samples_feature_window_cross,LEVEL_B_training_samples_label_window_cross,LEVEL_C_history,missing_unrepaired,missing_market_open_symbol_no_data,missing_confirmed_symbol_no_trade,missing_unresolved_after_retries,listing_boundary,model_eligible
2231,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2019-01-21,0,,0,1855,True,0,PASS,190,21,INCOMPLETE,1,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2303,2015-01-05,2026-09-11,2850,2807,43,0,0,0,3,2,23,2022-08-01,2,2022-04;2022-08,0,977,True,0,PASS,443,42,INCOMPLETE,43,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2308,2015-01-05,2026-09-11,2850,2829,21,0,0,0,1,1,21,2019-08-01,1,2019-08,0,1710,True,0,PASS,190,21,INCOMPLETE,21,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2312,2015-01-05,2026-09-11,2850,2830,20,0,0,0,1,1,20,2018-06-01,1,2018-06,0,1998,True,0,PASS,190,21,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2313,2015-01-05,2026-09-11,2850,2772,78,0,0,0,4,4,20,2019-03-04,4,2019-03;2021-10;2023-02;2023-09,0,716,True,0,PASS,695,63,INCOMPLETE,78,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2317,2015-01-05,2026-09-11,2850,2802,48,0,0,0,5,3,21,2025-09-01,2,2019-06;2025-09,22,230,True,0,PASS,735,63,INCOMPLETE,48,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2324,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2018-08-07,0,,0,1971,True,0,PASS,190,21,INCOMPLETE,1,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2330,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2337,2015-01-05,2026-09-11,2850,2821,29,0,0,0,2,2,20,2025-05-02,1,2025-05,20,316,True,0,PASS,380,42,INCOMPLETE,29,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2344,2015-01-05,2026-09-11,2850,2788,62,0,0,0,3,3,21,2024-07-01,3,2024-04;2024-07;2025-08,21,251,True,0,PASS,421,42,INCOMPLETE,62,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2345,2015-01-05,2026-09-11,2850,2830,20,0,0,0,1,1,20,2020-05-04,1,2020-05,0,1531,True,0,PASS,190,21,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2351,2015-01-05,2026-09-11,2850,2807,43,0,0,0,2,2,22,2021-07-01,2,2021-07;2024-11,0,433,True,0,PASS,380,42,INCOMPLETE,43,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2353,2015-01-05,2026-09-11,2850,2837,13,0,0,0,1,1,13,2018-02-01,1,2018-02,0,2081,True,0,PASS,190,21,INCOMPLETE,13,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2354,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2016-03-30,0,,0,2550,True,0,PASS,190,21,INCOMPLETE,1,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2356,2015-01-05,2026-09-11,2850,2788,62,0,0,0,3,3,22,2024-05-02,3,2019-03;2020-04;2024-05,0,555,True,0,PASS,570,63,INCOMPLETE,62,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2357,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2360,2015-01-05,2026-09-11,2850,2808,42,0,0,0,2,2,22,2018-11-01,2,2018-11;2022-10,0,936,True,0,PASS,380,42,INCOMPLETE,42,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2368,2015-01-05,2026-09-11,2850,2843,7,0,0,0,1,1,7,2022-09-07,0,,0,966,True,0,PASS,190,21,INCOMPLETE,7,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2376,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2377,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2379,2015-01-05,2026-09-11,2850,2788,62,0,0,0,3,3,21,2019-08-01,3,2019-08;2021-09;2022-09,0,956,True,0,PASS,570,63,INCOMPLETE,62,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2382,2015-01-05,2026-09-11,2850,2604,246,0,0,0,3,3,212,2017-03-01,12,2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2023-01;2025-03,21,356,True,0,PASS,570,63,INCOMPLETE,246,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2385,2015-01-05,2026-09-11,2850,2830,20,0,0,0,1,1,20,2025-10-01,1,2025-10,20,210,True,0,PASS,190,21,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2401,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2408,2015-01-05,2026-09-11,2850,2830,20,0,0,0,1,1,20,2025-10-01,1,2025-10,20,210,True,0,PASS,190,21,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2409,2015-01-05,2026-09-11,2850,2808,42,0,0,0,3,3,20,2025-04-01,2,2025-01;2025-04,35,336,True,0,PASS,420,42,INCOMPLETE,42,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2412,2015-01-05,2026-09-11,2850,2810,40,0,0,0,2,2,21,2019-08-01,2,2019-08;2020-10,0,1426,True,0,PASS,380,42,INCOMPLETE,40,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2449,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2024-04-26,0,,0,579,True,0,PASS,190,21,INCOMPLETE,1,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2451,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2454,2015-01-05,2026-09-11,2850,2834,16,0,0,0,2,1,15,2022-02-07,1,2022-02,0,1105,True,0,PASS,380,42,INCOMPLETE,16,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2458,2015-01-05,2026-09-11,2850,2843,7,0,0,0,1,1,7,2018-10-11,0,,0,1920,True,0,PASS,190,21,INCOMPLETE,7,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2542,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2548,2015-01-05,2026-09-11,2850,2828,22,0,0,0,1,1,22,2021-12-01,1,2021-12,0,1138,True,0,PASS,190,21,INCOMPLETE,22,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2603,2015-01-05,2026-09-11,2850,2843,7,0,0,0,1,1,7,2022-09-07,0,,0,966,True,0,PASS,190,21,INCOMPLETE,7,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2606,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2609,2015-01-05,2026-09-11,2850,2802,48,0,0,0,3,3,20,2021-10-01,2,2018-09;2021-10,0,1182,True,0,PASS,570,63,INCOMPLETE,48,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2610,2015-01-05,2026-09-11,2850,2809,41,0,0,0,2,2,21,2025-08-01,2,2024-09;2025-08,21,251,True,0,PASS,380,32,INCOMPLETE,41,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2615,2015-01-05,2026-09-11,2850,2828,22,0,0,0,1,1,22,2021-08-02,1,2021-08,0,1222,True,0,PASS,190,21,INCOMPLETE,22,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2618,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2634,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2637,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2723,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2801,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2812,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2845,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2880,2015-01-05,2026-09-11,2850,2807,43,0,0,0,2,2,22,2019-12-02,2,2019-12;2020-08,0,1467,True,0,PASS,329,21,INCOMPLETE,43,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2881,2015-01-05,2026-09-11,2850,2829,21,0,0,0,1,1,21,2024-03-01,1,2024-03,0,597,True,0,PASS,190,21,INCOMPLETE,21,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2882,2015-01-05,2026-09-11,2850,2829,21,0,0,0,1,1,21,2024-07-01,1,2024-07,0,515,True,0,PASS,190,21,INCOMPLETE,21,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2883,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2884,2015-01-05,2026-09-11,2850,2811,39,0,0,0,3,2,19,2018-09-03,2,2018-09;2019-06,1,207,True,0,PASS,541,42,INCOMPLETE,39,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2886,2015-01-05,2026-09-11,2850,2835,15,0,0,0,1,1,15,2025-01-02,1,2025-01,15,396,True,0,PASS,190,21,INCOMPLETE,15,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2887,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2024-08-22,0,,0,499,True,0,PASS,190,21,INCOMPLETE,1,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2890,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2891,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2892,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2903,2015-01-05,2026-09-11,2850,2827,23,0,0,0,1,1,23,2020-07-01,1,2020-07,0,1488,True,0,PASS,190,21,INCOMPLETE,23,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2912,2015-01-05,2026-09-11,2850,2827,23,0,0,0,2,1,22,2023-05-02,1,2023-05,0,799,True,0,PASS,380,42,INCOMPLETE,23,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
2915,2015-01-05,2026-09-11,2850,2843,7,0,0,0,1,1,7,2018-10-18,0,,0,1915,True,0,PASS,190,21,INCOMPLETE,7,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3008,2015-01-05,2026-09-11,2850,2830,20,0,0,0,1,1,20,2020-04-01,1,2020-04,0,1551,True,0,PASS,190,21,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3034,2015-01-05,2026-09-11,2850,2808,42,0,0,0,2,2,22,2019-05-02,2,2019-05;2025-04,20,336,True,0,PASS,380,42,INCOMPLETE,42,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3037,2015-01-05,2026-09-11,2850,2558,292,0,0,0,5,4,230,2017-02-02,14,2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2020-05;2024-09;2025-08,21,251,True,0,PASS,950,95,INCOMPLETE,292,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3045,2015-01-05,2026-09-11,2850,2697,153,0,0,0,5,5,45,2017-08-01,7,2017-08;2017-09;2017-11;2017-12;2019-07;2020-05;2021-07,0,1244,True,0,PASS,769,63,INCOMPLETE,153,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3231,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3443,2015-01-05,2026-09-11,2850,2815,35,0,0,0,2,2,22,2023-11-01,2,2023-11;2024-02,0,618,True,0,PASS,233,21,INCOMPLETE,35,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3661,2015-01-05,2026-09-11,2850,2829,21,0,0,0,1,1,21,2020-11-02,1,2020-11,0,1405,True,0,PASS,190,21,INCOMPLETE,21,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
3711,2018-04-30,2026-09-11,2041,1953,88,0,0,0,4,4,23,2023-03-01,4,2018-07;2020-11;2023-03;2024-12,0,411,True,0,PASS,613,63,INCOMPLETE,88,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
4133,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
4904,2015-01-05,2026-09-11,2850,2829,21,0,0,0,1,1,21,2022-05-03,1,2022-05,0,1042,True,0,PASS,190,21,INCOMPLETE,21,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
4938,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2020-08-13,0,,0,1479,True,0,PASS,190,21,INCOMPLETE,1,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
5522,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
5880,2015-01-05,2026-09-11,2850,2830,20,0,0,0,1,1,20,2022-10-03,1,2022-10,0,936,True,0,PASS,190,21,INCOMPLETE,20,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
