run_at,symbol,month,state,expected_missing,rows_returned,rows_accepted,rows_added,rows_rejected,remaining,attempts,suspension_status,no_data_sessions,registry_confirmed_no_trade
2026-09-21 22:47:33,2303,2018-06,MARKET_OPEN_SYMBOL_NO_DATA,1,19,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2018-06-29,
2026-09-21 22:47:33,2303,2022-04,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,2303,2022-08,FETCH_OK,23,23,23,23,0,0,1,,,
2026-09-21 22:47:33,2308,2019-08,FETCH_OK,21,21,21,21,0,0,1,,,
2026-09-21 22:47:33,2312,2018-06,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2313,2019-03,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2313,2021-10,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2313,2023-02,FETCH_OK,18,18,18,18,0,0,1,,,
2026-09-21 22:47:33,2313,2023-09,FETCH_OK,20,20,20,20,0,0,1,,,
2026-09-21 22:47:33,2317,2016-03,MARKET_OPEN_SYMBOL_NO_DATA,1,22,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2016-03-30,
2026-09-21 22:47:33,2317,2018-10,MARKET_OPEN_SYMBOL_NO_DATA,6,16,0,0,0,6,1,SUSPENSION_STATUS_UNKNOWN,2018-10-18;2018-10-19;2018-10-22;2018-10-23;2018-10-24;2018-10-25,
2026-09-21 22:47:33,2317,2019-06,FETCH_OK,19,19,19,19,0,0,1,,,
2026-09-21 22:47:33,2324,2018-08,MARKET_OPEN_SYMBOL_NO_DATA,1,22,0,0,0,1,1,SUSPENSION_STATUS_UNKNOWN,2018-08-07,
2026-09-21 22:47:33,2337,2017-08,MARKET_OPEN_SYMBOL_NO_DATA,9,14,0,0,0,9,1,SUSPENSION_STATUS_UNKNOWN,2017-08-15;2017-08-16;2017-08-17;2017-08-18;2017-08-21;2017-08-22;2017-08-23;2017-08-24;2017-08-25,
