item,recipe,cell,refit_date,seed,epoch,train_loss,val_ic
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,2,0.33321,0.03527
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,3,0.33267,0.03689
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,4,0.3323,0.06255
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,5,0.33175,0.10563
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,6,0.3311,0.09183
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,7,0.33084,0.09801
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,8,0.33018,0.09616
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,9,0.32979,0.07267
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,10,0.32936,0.09064
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,0,0.33589,0.02132
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,1,0.33384,0.02845
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,2,0.33351,0.0579
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,3,0.33277,0.09655
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,4,0.33213,0.10895
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,5,0.33118,0.08447
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,6,0.33047,0.09226
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,7,0.33001,0.07126
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,8,0.32938,0.0588
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,2,9,0.32917,0.05334
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,0,0.33423,-0.02918
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,1,0.33309,0.05041
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,2,0.33286,0.05947
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,3,0.33263,0.05489
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,4,0.33228,0.04769
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,5,0.3318,0.0377
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,6,0.33163,0.03033
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,0,7,0.33122,-0.02975
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,1,0,0.33543,0.05207
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,1,1,0.33349,0.05042
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,1,2,0.33281,0.04277
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,1,3,0.33254,0.04064
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,1,4,0.33208,0.02065
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,1,5,0.33102,0.00435
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,2,0,0.33579,0.04516
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,2,1,0.33365,0.03985
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,2,2,0.33288,0.01815
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,2,3,0.33207,0.03285
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,2,4,0.33122,0.03669
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-01-19,2,5,0.33017,0.03165
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2024-08-02,0,0,0.33421,0.08596
