window,signal,config,cost_bps,sharpe,max_dd,ann_ret,yearly,short_hit_rate,short_mae_mean,turnover_long,turnover_short,avg_n_short,avg_n_excluded,max_short_sector_w
CH,d12,L100_S50,150,1.368,-0.2523,0.3357,"{""2023"": 1.37, ""2024"": 0.38, ""2025"": 1.14, ""2026"": 4.92}",0.495,0.189,0.363,0.4,13.8,7.3,0.571
CH,d12,L100_S100_net0,150,0.821,-0.2965,0.2051,"{""2023"": 0.63, ""2024"": 0.04, ""2025"": 0.81, ""2026"": 3.35}",0.495,0.189,0.363,0.4,13.8,7.3,0.571
CH,d12,S100_diagnostic,150,-1.222,-0.5896,-0.2612,"{""2023"": -2.23, ""2024"": -0.49, ""2025"": -0.73, ""2026"": -2.58}",0.495,0.189,0.363,0.4,13.8,7.3,0.571
CH,d12,L100,200,1.555,-0.3228,0.4434,"{""2023"": 1.97, ""2024"": 0.4, ""2025"": 1.22, ""2026"": 4.59}",0.495,0.189,0.363,0.4,13.8,7.3,0.571
CH,d12,L100_S50,200,1.172,-0.2922,0.2876,"{""2023"": 1.16, ""2024"": 0.04, ""2025"": 0.99, ""2026"": 4.71}",0.495,0.189,0.363,0.4,13.8,7.3,0.571
CH,d12,L100_S100_net0,200,0.528,-0.3874,0.1318,"{""2023"": 0.33, ""2024"": -0.45, ""2025"": 0.6, ""2026"": 3.02}",0.495,0.189,0.363,0.4,13.8,7.3,0.571
CH,d12,S100_diagnostic,200,-1.452,-0.6511,-0.3116,"{""2023"": -2.55, ""2024"": -0.73, ""2025"": -0.92, ""2026"": -2.75}",0.495,0.189,0.363,0.4,13.8,7.3,0.571
CH,blend50,L100,60,1.921,-0.2672,0.529,"{""2023"": 2.41, ""2024"": 0.76, ""2025"": 1.64, ""2026"": 5.41}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S50,60,1.999,-0.1755,0.448,"{""2023"": 2.23, ""2024"": 1.25, ""2025"": 1.63, ""2026"": 6.72}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S100_net0,60,1.739,-0.1336,0.367,"{""2023"": 1.78, ""2024"": 1.53, ""2025"": 1.4, ""2026"": 4.29}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,S100_diagnostic,60,-0.81,-0.4424,-0.162,"{""2023"": -1.91, ""2024"": 0.57, ""2025"": -0.7, ""2026"": -2.31}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100,100,1.863,-0.2773,0.5132,"{""2023"": 2.32, ""2024"": 0.69, ""2025"": 1.6, ""2026"": 5.37}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S50,100,1.845,-0.1983,0.4131,"{""2023"": 1.99, ""2024"": 1.07, ""2025"": 1.53, ""2026"": 6.53}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S100_net0,100,1.484,-0.1437,0.3129,"{""2023"": 1.38, ""2024"": 1.25, ""2025"": 1.24, ""2026"": 3.94}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,S100_diagnostic,100,-1.001,-0.5051,-0.2004,"{""2023"": -2.27, ""2024"": 0.39, ""2025"": -0.86, ""2026"": -2.43}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100,150,1.79,-0.2897,0.4936,"{""2023"": 2.2, ""2024"": 0.6, ""2025"": 1.55, ""2026"": 5.31}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S50,150,1.65,-0.2259,0.3694,"{""2023"": 1.7, ""2024"": 0.84, ""2025"": 1.4, ""2026"": 6.29}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S100_net0,150,1.164,-0.1822,0.2452,"{""2023"": 0.88, ""2024"": 0.91, ""2025"": 1.03, ""2026"": 3.5}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,S100_diagnostic,150,-1.237,-0.5739,-0.2484,"{""2023"": -2.71, ""2024"": 0.16, ""2025"": -1.06, ""2026"": -2.58}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100,200,1.718,-0.3019,0.4739,"{""2023"": 2.09, ""2024"": 0.51, ""2025"": 1.5, ""2026"": 5.25}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S50,200,1.455,-0.2527,0.3257,"{""2023"": 1.4, ""2024"": 0.6, ""2025"": 1.27, ""2026"": 6.04}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
CH,blend50,L100_S100_net0,200,0.843,-0.2362,0.1775,"{""2023"": 0.38, ""2024"": 0.56, ""2025"": 0.83, ""2026"": 3.06}",0.509,0.1905,0.312,0.381,13.8,7.3,0.5
