symbol,first_date,last_date,expected_sessions,actual_sessions,missing_sessions,duplicate_dates,non_monotonic_steps,off_calendar_rows,gap_intervals,multi_session_gaps,largest_gap_sessions,largest_gap_start,full_month_gaps,full_month_list,missing_2025_26,latest_contiguous_run,tail_fresh,recent_window_missing,LEVEL_A_live_inference,LEVEL_B_training_samples_feature_window_cross,LEVEL_B_training_samples_label_window_cross,LEVEL_C_history,missing_unrepaired,missing_market_open_symbol_no_data,missing_confirmed_symbol_no_trade,missing_unresolved_after_retries,listing_boundary,model_eligible
0050,2015-01-05,2026-09-11,2850,2845,5,0,0,0,1,1,5,2025-06-11,0,,5,304,True,0,PASS,190,21,INCOMPLETE,5,0,0,0,UNKNOWN_LISTING_BOUNDARY,False
0056,2015-01-05,2026-09-11,2850,2807,43,0,0,0,2,2,22,2024-01-02,2,2024-01;2026-06,21,52,True,21,FAIL,242,42,INCOMPLETE,43,0,0,0,UNKNOWN_LISTING_BOUNDARY,False
1101,2015-01-05,2026-09-11,2850,2847,3,0,0,0,2,1,2,2017-04-19,0,,1,263,True,0,PASS,380,42,INCOMPLETE,0,3,0,0,UNKNOWN_LISTING_BOUNDARY,True
1102,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2024-06-05,0,,0,552,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
1201,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
1210,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
1215,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
1216,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2017-07-27,0,,0,2225,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
1227,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
1229,2015-01-05,2026-09-11,2850,2849,1,0,0,0,1,0,1,2019-03-28,0,,0,1816,True,0,PASS,190,21,INCOMPLETE,0,1,0,0,UNKNOWN_LISTING_BOUNDARY,True
1231,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
1301,2015-01-05,2026-09-11,2850,2850,0,0,0,0,0,0,0,,0,,0,2850,True,0,PASS,0,0,COMPLETE,0,0,0,0,UNKNOWN_LISTING_BOUNDARY,True
